,lat,lon,intersection_type,number_of_accidents,average_cost_to_insurers,fatal_accident_number,major_accident_number,minor_accident_number,unknown_accident_number,property_accident_number
155,41.731926594072405,-93.62150364677352,,318,156666.66666666666,0,4,24,69,221
156,40.81486718074247,-91.14144167405807,,396,154666.66666666666,0,0,17,72,307
157,42.533963687695575,-96.37022219469871,,312,154666.66666666666,0,4,24,71,213
158,41.64746508508054,-91.54007371003733,,348,154000.0,0,1,25,47,275
159,41.54550549086594,-90.59122963932317,,328,153333.33333333334,0,2,26,89,211
160,41.59898824581582,-93.50321259225186,,266,153333.33333333334,0,7,24,67,168
161,41.57483489277431,-90.52031620308148,,319,153000.0,0,2,28,52,237
162,41.02221707209093,-92.4142499410476,,231,153000.0,0,10,22,47,152
163,41.70484360035206,-93.58128599724336,,304,152666.66666666666,0,7,14,56,227
164,41.60046018363231,-93.77982319741608,,310,152666.66666666666,0,2,30,47,231
165,41.627706125384094,-93.6514291440588,,289,152666.66666666666,1,5,20,99,164
166,42.506726760345245,-92.4112217202619,,168,152333.33333333334,1,13,22,44,88
167,41.64410981381531,-93.50313195352194,,341,152333.33333333334,0,2,22,93,224
168,41.55909302963291,-93.78473127846566,,335,151666.66666666666,0,0,30,72,233
169,41.6003903205768,-93.6437782670749,,267,151666.66666666666,2,3,27,70,165
170,41.522466862967164,-90.57405880489362,,395,151666.66666666666,0,0,15,43,337
171,41.62770062759353,-93.6150975662357,,246,151333.33333333334,0,6,31,82,127
172,42.02176873950544,-91.7022776241516,,277,151000.0,0,2,37,46,192
173,41.97610734089592,-91.55149388467412,,221,151000.0,2,5,31,25,158
174,41.62944722649043,-93.68778576889574,,259,151000.0,0,5,31,62,161
175,42.02789814174848,-91.63170922663222,,310,150666.66666666666,0,5,18,62,225
176,41.86375865065565,-90.22351476100657,,151,150333.33333333334,2,9,34,55,51
177,41.52463665765628,-93.596774001526,,192,150000.0,2,6,34,71,79
178,41.65786716540159,-91.5345605448144,,264,149333.33333333334,0,8,18,41,197
179,41.296236264492535,-92.64516721684585,,331,149000.0,0,0,29,72,230
180,41.61497805378352,-93.56616924143314,,217,148000.0,3,3,32,54,125
181,41.55913342727469,-93.77926239379575,,284,148000.0,0,4,26,35,219
182,41.560190763580735,-90.57529468594622,,279,147666.66666666666,0,4,27,75,173
183,42.50323209980909,-96.41849811640908,,220,147666.66666666666,1,10,16,53,140
184,42.03474335743967,-91.63848404975833,,298,147333.33333333334,0,2,29,48,219
185,41.55485307366432,-90.51777553284641,,280,146666.66666666666,0,6,19,56,199
186,41.70322122147517,-93.63742758469678,,221,146333.33333333334,2,0,45,51,123
187,42.02810042003691,-91.63849420224233,,326,145333.33333333334,0,1,24,79,222
188,43.14818087936472,-93.24062378503987,,351,145000.0,0,0,21,98,232
189,41.58005682453792,-93.6448314922629,,251,145000.0,0,6,25,60,160
190,41.952073392542445,-91.72468862115095,,212,144666.66666666666,2,6,25,40,139
191,41.26122925155477,-95.85202860807419,,256,144666.66666666666,0,3,34,70,149
192,41.54094863005715,-93.62574991977145,,245,144000.0,3,1,29,59,153
193,41.93020118809101,-90.60785847699998,,33,143000.0,2,25,2,0,4
194,42.02849504183766,-91.65832644129888,,271,143000.0,0,7,15,62,187
195,41.600543228364735,-93.73622044739844,,266,142666.66666666666,2,2,24,43,195
196,41.66597046799334,-91.55812816351173,,297,142333.33333333334,0,5,15,43,234
197,41.53828547079022,-90.57554674359433,,286,142000.0,0,2,28,82,174
198,41.53830264303931,-90.55823573119636,,331,142000.0,1,2,12,81,235
199,41.60043687808436,-93.63406832121284,,249,141666.66666666666,0,6,23,60,160
200,41.61178164190223,-93.77686452021376,,276,141333.33333333334,0,4,23,47,202
201,41.560115388091624,-90.61029378056098,,262,141333.33333333334,0,1,37,50,174
202,41.62776885851771,-93.58135502036077,,255,141333.33333333334,3,2,21,49,180
203,42.500985216284484,-90.74075716785924,,341,141000.0,0,1,17,71,252
204,41.9560851898808,-91.67696716745871,,218,140666.66666666666,0,8,23,29,158
205,41.560126554527976,-90.57834461915022,,233,140333.33333333334,2,5,20,65,141
206,42.614203321116086,-92.33770832408037,,112,140000.0,2,13,22,11,64
207,41.7319060218483,-93.60723143276343,,224,140000.0,0,6,28,52,138
208,41.43614465663096,-91.09190171448802,,168,139333.33333333334,0,7,38,33,90
209,41.58562177801178,-93.64478145887718,,342,139333.33333333334,0,0,19,101,222
210,41.6506334563391,-93.77494065357182,,348,138666.66666666666,0,0,17,31,300
211,42.50104816428673,-94.1775442862733,,300,138333.33333333334,1,0,24,50,225
212,41.60406583766553,-93.64386695744129,,290,138000.0,0,0,31,93,166
213,41.5409808144613,-93.64503847298444,,258,138000.0,0,2,32,62,162
214,41.525997557865814,-93.64497838816438,,298,138000.0,0,2,22,90,184
215,41.98253006422141,-91.66203734582781,,244,138000.0,0,7,18,47,172
216,41.526388704620516,-93.61607290986147,,195,137000.0,0,6,33,63,93
217,41.63616361122666,-91.5646039926171,,256,136666.66666666666,0,1,35,50,170
218,41.52232365303687,-90.60118477630873,,217,136333.33333333334,0,6,27,47,137
219,42.01644488182335,-93.61034039123692,,249,136333.33333333334,0,4,26,42,177
220,41.591984738029,-93.59457351331186,,311,136333.33333333334,0,1,21,73,216
221,41.65852931562905,-93.49874857551302,,345,136333.33333333334,0,0,16,73,256
222,41.50848335055565,-90.68832121444446,,126,136000.0,0,11,32,17,66
223,41.018329390327885,-92.43846775315762,,241,135666.66666666666,0,5,24,69,143
224,41.644135981964624,-93.50607436587943,,282,135333.33333333334,0,0,31,54,197
225,43.14574845774028,-93.359429651329,,231,135000.0,0,7,19,32,173
226,42.49308830320819,-96.40491198705715,,245,134333.33333333334,0,5,22,57,161
227,41.62953020514365,-93.61992009229209,,202,134333.33333333334,3,4,22,53,120
228,42.495210721472354,-96.41062524509363,,235,134000.0,1,4,23,62,145
229,42.476600043696656,-92.3221375751367,,234,134000.0,2,5,15,48,164
230,41.702643057342755,-93.5743961824299,,321,133666.66666666666,0,0,20,53,248
231,42.5002869063334,-96.42044535752126,,282,133333.33333333334,0,1,26,78,177
232,41.69593785000009,-92.63443437,,20,133333.33333333334,20,0,0,0,0
